voltage,current,mAh,Wh,D+,D-,temperature,duration
5.2,0.04,0,0.0,0.1,0.1,30,0:00:56
5.21,0.04,0,0.0,0.1,0.1,30,0:00:57
5.21,0.04,0,0.0,0.1,0.1,30,0:00:58
5.2,0.04,0,0.0,0.1,0.1,30,0:00:59
5.19,0.04,0,0.0,0.1,0.1,30,0:01:00
5.2,0.04,0,0.0,0.1,0.1,30,0:01:01
5.21,0.04,0,0.0,0.1,0.1,30,0:01:02
5.2,0.04,0,0.0,0.1,0.1,30,0:01:03
5.2,0.15,0,0.0,0.1,0.1,30,0:01:04
5.12,0.81,0,0.0,0.11,0.11,30,0:01:05
5.15,0.52,1,0.0,0.1,0.1,30,0:01:06
5.1,1.23,1,0.0,3.46,3.36,30,0:01:07
5.2,0.04,1,0.0,0.1,3.42,30,0:01:08
7.53,1.03,1,0.0,0.11,3.37,30,0:01:09
7.71,2.05,2,0.01,0.11,3.33,30,0:01:10
7.84,2.7,3,0.02,0.11,3.3,30,0:01:11
8.04,3.82,4,0.02,0.12,3.26,30,0:01:12
8.17,4.52,5,0.03,0.09,3.22,30,0:01:13
8.34,5.56,6,0.05,0.13,3.18,30,0:01:14
8.46,6.28,8,0.06,0.1,3.15,30,0:01:15
8.49,6.32,10,0.08,0.13,3.14,30,0:01:16
8.48,6.27,12,0.09,0.13,3.14,30,0:01:17
8.49,6.34,13,0.11,0.13,3.14,30,0:01:18
8.51,6.3,15,0.12,3.49,3.14,30,0:01:19
8.5,6.37,17,0.14,0.13,3.14,30,0:01:20
8.51,6.3,19,0.15,0.13,3.14,31,0:01:21
8.54,6.32,20,0.17,0.13,3.14,31,0:01:22
8.53,6.37,22,0.18,0.1,3.14,30,0:01:23
8.56,6.33,24,0.2,0.13,3.14,30,0:01:24
8.54,6.33,26,0.21,0.13,3.14,31,0:01:25
8.56,6.25,28,0.23,0.13,3.14,30,0:01:26
8.57,6.38,29,0.24,0.13,3.14,31,0:01:27
8.58,6.32,31,0.26,0.13,3.14,31,0:01:28
8.57,6.36,33,0.27,0.13,3.15,31,0:01:29
8.58,6.3,35,0.29,0.13,3.14,31,0:01:30
8.59,6.35,36,0.3,3.13,3.14,31,0:01:31
8.58,6.29,38,0.32,0.13,3.14,32,0:01:32
8.58,6.32,40,0.33,0.13,3.14,32,0:01:33
8.58,6.35,42,0.35,0.13,3.14,32,0:01:34
8.59,6.32,43,0.36,0.13,3.14,32,0:01:35
8.6,6.32,45,0.38,0.13,3.14,32,0:01:36
8.6,6.26,47,0.39,0.13,3.14,32,0:01:37
8.61,6.32,49,0.41,0.13,3.14,32,0:01:38
8.61,6.32,50,0.42,0.13,3.14,32,0:01:39
8.61,6.28,52,0.44,3.49,3.14,32,0:01:40
8.61,6.31,54,0.45,0.15,3.14,32,0:01:41
8.61,6.34,56,0.47,0.13,3.14,32,0:01:42
8.62,6.28,57,0.48,3.13,3.14,32,0:01:43
8.59,6.33,59,0.5,0.15,3.14,32,0:01:44
8.61,6.29,61,0.51,0.13,3.14,32,0:01:45
8.62,6.37,63,0.53,0.13,3.14,32,0:01:46
8.62,6.36,64,0.54,0.13,3.14,33,0:01:47
8.62,6.28,66,0.56,3.49,3.14,33,0:01:48
8.62,6.37,68,0.57,0.15,1.92,33,0:01:49
8.61,6.33,70,0.59,0.13,3.14,33,0:01:50
8.62,6.34,72,0.6,0.13,3.14,33,0:01:51
8.62,6.33,73,0.62,0.09,3.14,33,0:01:52
8.63,6.32,75,0.63,0.15,3.14,33,0:01:53
8.62,6.29,77,0.65,3.49,3.14,34,0:01:54
8.62,6.34,79,0.66,0.13,3.14,33,0:01:55
8.64,6.38,80,0.68,0.13,3.14,33,0:01:56
8.64,6.41,82,0.7,0.13,3.14,34,0:01:57
8.63,6.32,84,0.71,0.13,3.13,33,0:01:58
8.64,6.33,86,0.73,0.13,3.14,34,0:01:59
8.63,6.31,87,0.74,0.13,3.14,33,0:02:00
8.64,6.28,89,0.76,3.13,3.14,33,0:02:01
8.65,6.32,91,0.77,0.13,3.14,34,0:02:02
